CUSTOMER;CRM GRUPO BRASIL;BR CHANNEL;BR SUB-CHANNEL;GCO SUB-CHANNEL;GCO CHANNEL;LATAM CHANNEL;PRICE LIST ANTIGA;PRICE LIST VC;PRICE LIST NOVA;FILE;PRICE LIST NOVA_NAME;SALES;RAMO;STATUS;SELL IN DE QUAL DISTRIBUIDOR (A)?;SIGLAS PEDIDOS DIST:;POSSUI FORECAST?;NAM;MANAGER;MANAGER VB2B;AGRUPAMENTO META / FCST;GRUPO SPRINT;GRUPO MDF;;;;;;;
BEMOL;1;RETAIL;CES - REGIONAL RETAIL;CONSUMER ELECTRONICS STORES;RETAIL;SPECIALIST AND REGIONAL RETAIL;SIOMAP_SP/ES;;BLUELIST;BlueList - SP para NO NE CO +ES (ICMS 4_ e 7_)_Aug24.xlsx;BLUELIST_ES;T2;VAREJO INDIRETO;Ativo;AGIS;BEM_;SIM;LUCIANA;ANDREYA;ANDREYA;BEMOL;VAREJO REGIONAL;;;;;;;;
ALLIED;2;DISTRIBUTION;B2C CAPILAR;IT STORES;RETAIL;DISTRIBUTION;LISTA_SP/ES;;WHITELIST;Whitelist - SP para NO NE CO +ES (ICMS 4_ e 7_) - Aug24.xlsx;WHITELIST_ES;T1;DISTRIBUIDOR;Ativo;ALLIED;CAP_;SIM;THAIS;ANDREYA;ANDREYA;B2C CAPILAR;ALLIED;;;;;;;;
BRAILE;3;DISTRIBUTION;B2C CAPILAR;OTHER RETAILERS / REGIONAL RETAILERS;RETAIL;SUB DISTY;LISTA_SP/ES;;WHITELIST;Whitelist - SP para NO NE CO +ES (ICMS 4_ e 7_) - Aug24.xlsx;WHITELIST_ES;T2;SUBDISTRIBUIDOR;Ativo;INGRAM;SUB_;SIM;THAIS;ANDREYA;ANDREYA;OUTROS THAIS;BRAILE;;;;;;;;
AMAZON PRINT;4;DISTRIBUTION;B2C CAPILAR;IT STORES;RETAIL;SPECIALIST AND REGIONAL RETAIL;LISTA_SP/ES;;WHITELIST;Whitelist - SP para NO NE CO +ES (ICMS 4_ e 7_) - Aug24.xlsx;WHITELIST_ES;T2;VAREJO INDIRETO;Inativo;INGRAM;CAP_;NÃO;THAIS;ANDREYA;ANDREYA;B2C CAPILAR;INATIVO;;;;;;;;
ARMAZEM PARAIBA;5;RETAIL;CES - REGIONAL RETAIL;CONSUMER ELECTRONICS STORES;RETAIL;SPECIALIST AND REGIONAL RETAIL;SIOMAP_SP/ES;;WHITELIST;Whitelist - SP para NO NE CO +ES (ICMS 4_ e 7_) - Aug24.xlsx;WHITELIST_ES;T2;VAREJO INDIRETO;Ativo;AGIS;ARM_;NÃO;LUCIANA;ANDREYA;ANDREYA;B2C CAPILAR;INATIVO;;;;;;;;
GPA;6;RETAIL;CES - REGIONAL RETAIL;CONSUMER ELECTRONICS STORES;RETAIL;SPECIALIST AND REGIONAL RETAIL;LISTA_SP/ES;;WHITELIST;Whitelist - SP para NO NE CO +ES (ICMS 4_ e 7_) - Aug24.xlsx;WHITELIST_ES;T2;VAREJO INDIRETO;Ativo;AGIS;GPA_;NÃO;THAIS;ANDREYA;ANDREYA;GPA;VAREJO REGIONAL;;;;;;;;
CNOVA COMERCIO;7;RETAIL;CES - REGIONAL RETAIL;CONSUMER ELECTRONICS STORES;RETAIL;SPECIALIST AND REGIONAL RETAIL;LISTA_SP/ES;;WHITELIST;Whitelist - SP para NO NE CO +ES (ICMS 4_ e 7_) - Aug24.xlsx;WHITELIST_ES;T2;VAREJO INDIRETO;Ativo;AGIS;CNV_;NÃO;THAIS;ANDREYA;ANDREYA;CNOVA COMERCIO;VAREJO REGIONAL;;;;;;;;
CONTABILISTA;8;B2B PARTNERS;B2B OTHERS;B2B OTHERS;B2B PARTNERS;B2B/VC;SIOMAP_SP/PR;MEDIAGPOS;BLUELIST;BlueList - SP para SE SU (ICMS 4_ e 12_) Aug24.xlsx;BLUELIST_PR;T2;VAREJO INDIRETO;Ativo;PAUTA;CON_;SIM;CATIA;FUJITA;FUJITA;CONTABILISTA;CONTABILISTA;;;;;;;;
DATASUPRI;9;DISTRIBUTION;B2C CAPILAR;IT STORES;RETAIL;SPECIALIST AND REGIONAL RETAIL;LISTA_SP/ES;;WHITELIST;Whitelist - SP para NO NE CO +ES (ICMS 4_ e 7_) - Aug24.xlsx;WHITELIST_ES;T2;VAREJO INDIRETO;Inativo;GOLDEN;CAP_;NÃO;THAIS;ANDREYA;ANDREYA;DATASUPRI;INATIVO;;;;;;;;
ESPACIAL;10;B2B PARTNERS;B2B OTHERS;B2B OTHERS;B2B PARTNERS;B2B/VC;SIOMAP_SP/ES;MEDIAGPOS;BLUELIST;BlueList - SP para NO NE CO +ES (ICMS 4_ e 7_)_Aug24.xlsx;BLUELIST_ES;T2;VAREJO INDIRETO;Ativo;GOLDEN;SPI_;SIM;CATIA;FUJITA;FUJITA;SPI;SPI;;;;;;;;
