;QFY;Q1FY26;Q2FY26;Q3FY26;Q4FY25;Q4FY26;Grand Total
SELL IN DE QUAL DISTRIBUIDOR (A)?2;CLIENTE;Sell In GPOS BRL (Sum);;;;;
-;B2B; R$ 	7.537.174 ; R$ 	7.484.181 ; R$ 	7.484.181 ; R$ 	6.995.460 ; R$ 	7.484.181 ; R$ 	36.985.177 
- Total;; R$ 	7.537.174 ; R$ 	7.484.181 ; R$ 	7.484.181 ; R$ 	6.995.460 ; R$ 	7.484.181 ; R$ 	36.985.177 
AGIS;AGIS; R$ 	3.861.718 ; R$ 	3.592.783 ; R$ 	2.498.517 ; R$ 	4.573.420 ; R$ 	1.733.353 ; R$ 	16.259.791 
;BEMOL; R$ 	102.257 ; R$ 	102.176 ; R$ 	102.176 ; R$ 	102.094 ;; R$ 	408.704 
;CASA DO PAPEL; R$ 	586.718 ; R$ 	437.943 ; R$ 	437.943 ; R$ 	428.166 ; R$ 	437.943 ; R$ 	2.328.714 
;GAME MANIA; R$ 	460.230 ; R$ 	426.321 ; R$ 	426.321 ; R$ 	649.981 ; R$ 	426.321 ; R$ 	2.389.174 
;GIBSON; R$ 	895.559 ; R$ 	602.726 ; R$ 	467.804 ; R$ 	1.667.415 ; R$ 	301.253 ; R$ 	3.934.756 
;HAVAN; R$ 	1.228.157 ; R$ 	1.228.157 ; R$ 	831.303 ; R$ 	1.577.990 ; R$ 	772.336 ; R$ 	5.637.944 
;IBYTE; R$ 	962.079 ; R$ 	918.115 ; R$ 	945.376 ; R$ 	722.224 ; R$ 	909.765 ; R$ 	4.457.559 
;INPOWER; R$ 	3.830.144 ; R$ 	3.838.080 ; R$ 	4.076.975 ; R$ 	6.184.797 ; R$ 	3.999.001 ; R$ 	21.928.997 
;ITX GAMER; R$ 	188.376 ; R$ 	177.174 ; R$ 	177.174 ; R$ 	270.267 ; R$ 	177.174 ; R$ 	990.165 
;KADRI; R$ 	394.868 ; R$ 	341.595 ; R$ 	356.854 ; R$ 	311.517 ; R$ 	156.054 ; R$ 	1.560.888 
;LA INFO; R$ 	355.529 ; R$ 	355.529 ; R$ 	355.529 ; R$ 	559.456 ; R$ 	355.529 ; R$ 	1.981.572 
;LEITURA COMERCIAL; R$ 	141.687 ; R$ 	166.068 ; R$ 	114.001 ; R$ 	247.484 ; R$ 	89.063 ; R$ 	758.302 
;LOGIN INF. COM.; R$ 	401.698 ; R$ 	343.540 ; R$ 	343.540 ; R$ 	-   ; R$ 	343.540 ; R$ 	1.432.317 
;MERCADO LIVRE; R$ 	16.700.589 ; R$ 	18.844.718 ; R$ 	20.691.265 ; R$ 	33.076.406 ; R$ 	20.919.202 ; R$ 	110.232.180 
;MIRANDA; R$ 	572.340 ; R$ 	531.216 ; R$ 	528.151 ; R$ 	524.646 ; R$ 	261.913 ; R$ 	2.418.267 
;NOMADE; R$ 	851.225 ; R$ 	851.225 ; R$ 	851.225 ; R$ 	1.243.270 ; R$ 	851.225 ; R$ 	4.648.171 
;ONLINE INFO; R$ 	400.984 ; R$ 	429.063 ; R$ 	430.497 ; R$ 	564.370 ; R$ 	430.903 ; R$ 	2.255.817 
;PAPEL E CIA; R$ 	344.370 ; R$ 	345.965 ; R$ 	344.934 ; R$ 	336.033 ; R$ 	-   ; R$ 	1.371.302 
;PRIMETEK; R$ 	456.762 ; R$ 	524.315 ; R$ 	525.708 ; R$ 	527.367 ; R$ 	202.391 ; R$ 	2.236.542 
;SYMA SOLUTIONS; R$ 	409.537 ; R$ 	298.717 ; R$ 	298.737 ; R$ 	321.284 ; R$ 	298.737 ; R$ 	1.627.012 
;TNTINFO; R$ 	384.392 ; R$ 	462.645 ; R$ 	575.510 ; R$ 	784.009 ; R$ 	479.344 ; R$ 	2.685.901 
AGIS Total;; R$ 	33.529.220 ; R$ 	34.818.070 ; R$ 	35.379.539 ; R$ 	54.672.197 ; R$ 	33.145.049 ; R$ 	191.544.074 
ALFACOMEX;APPLE; R$ 	47.933 ; R$ 	115.127 ; R$ 	93.024 ; R$ 	103.726 ; R$ 	4.139 ; R$ 	363.949 
ALFACOMEX Total;; R$ 	47.933 ; R$ 	115.127 ; R$ 	93.024 ; R$ 	103.726 ; R$ 	4.139 ; R$ 	363.949 
ALLIED;ALLIED; R$ 	-   ; R$ 	-   ; R$ 	-   ; R$ 	-   ; R$ 	-   ; R$ 	-   
;CARREFOUR; R$ 	680.236 ; R$ 	505.817 ; R$ 	457.617 ; R$ 	1.261.583 ; R$ 	236.606 ; R$ 	3.141.860 
;SAM´S CLUB; R$ 	212.716 ; R$ 	270.926 ; R$ 	177.317 ; R$ 	548.346 ; R$ 	179.727 ; R$ 	1.389.032 
;TIM; R$ 	14.462 ; R$ 	95.391 ; R$ 	34.713 ; R$ 	1.256.353 ; R$ 	129.653 ; R$ 	1.530.571 
ALLIED Total;; R$ 	907.414 ; R$ 	872.134 ; R$ 	669.647 ; R$ 	3.066.282 ; R$ 	545.986 ; R$ 	6.061.463 
